Radiko,Vorto,Dut,Eng,Fra,Fre,Ger,Gre,It,Ita,Lat,Lit,Pol,Rus,Spa,Yid,calque of Yid
redakci,redakcio,,,,rédaction,Redaktion,,,,,redakcija,redakcja,peдaкция,,,
redaktor,redaktoro,,,,rédacteur,Redakteur,,,,,redaktorius,,peдaктop,,,
redon,redoni,,,,redonner,,,,,,,,,,,
redukt,redukto,,reduction,,réduction,Reduktion,,,,reductio,,,,,,
redut,reduto,,redoubt,,redoute,,,,,,,,,,,
referenc,referenco,,reference,,référence,,,,,,,,,,,
refer,referi,,refer,,référer,referieren,,,riferire,,,,,,,
refleksi,refleksio,,reflection,,réflexion,,,,,,,,,,,
reflekt,reflekti,,reflect,,,reflektieren,,,,,,,,,,
reflus,refluso,,,,,,,,riflusso,,,,,,,
reform,reformo,,reform,,réforme,Reform,,,riforma,,reforma,reforma,peфopмa,,,
refut,refuti,,refute,,réfuter,,,,rifiutare,,,,,,,
regener,regeneri,,regenerate,,régénérer,,,,rigenerare,,,,,,,
reg,regi,,,,,,,,reggere,regere,,,,,,
region,regiono,,region,,région,Region,,,regione,,,,,,,
registr,registri,,register,,régistrer,registrieren,,,registrare,,registruoti,,peгиcтpиpoвaть,,,
regn,regno,,reign,,règne,,,,regno,regnum,,,,,,
regul,regulo,,,,,Regel,,,regola,regula,,regu³a,,,regl,
reĝim,reĝimo,,regime,,régime,,,,regime,,režimas,re¿im,peжим,,,
reĝin,reĝino,,,,,,,,regina,regina,,,,,,
reĝisor,reĝisoro,,,,régisseur,Regisseur,,,,,režisierius,re¿yser,peжиccëp,,,
reĝ,reĝo,,,,,,,,,(pl.) reges,,,,,,
reĵet,reĵeti,,,,rejeter,,,,,,,,,,,
reklam,reklamo,,,,réclame,Reklame,,,reclame,,reklama,reklama,реклама,,reklame,
rek,reko,,,,,Reck,,,,,,,,,,
rekomend,rekomendi,,recommend,,recommender,rekommendieren,,,raccomandare,,rekomenduoti,,peкoмeндoвaть,,rekomendirn,
rekompenc,rekompenco,,recompense,,récompense,,,,ricompensa,,,,,,,
rekon,rekoni,,recognise,,reconnaître,,,,riconoscere,,,,,,,
rekonstru,rekonstrui,,,,reconstruire,,,,,,,,,,,
rekord,rekordo,,record,,,Rekord,,,,,rekordas,rekord,peкopд,,,
rekrut,rekruto,,recruit,,,Rekrut,,,,,,,,,,
rekt,rekta,,,,,,,,,rectus,,,,,,
rektangul,rektangulo,,rectangle,,,,,,,,,,,,,
religi,religio,,religion,,réligion,Religion,,,religione,religio,religija,religia,религия,,religie,
rel,relo,,rail,,rail,,,,,,,,,,,
rembur,remburi,,,,rembourrer,,,,,,,,,,,
rememor,rememori,,remember,,,,,,rimembrare,,,,,,,
rem,remi,,,,,,,,remare,remare,,,,,,
rempar,remparo,,,,rempart,,,,,,,,,,,
renkont,renkonti,,encounter,,rencontrer,,,,rincontrare,,,,,,,
ren,reno,,,,,,,,rene,ren,,,,,,
renom,renomo,,,,renom,,,,,,,,,,,
renov,renovi,,renovate,,rénover,renovieren,,,rinnovare,renovare,,,,,,
rent,rento,,,,,Rente,,,,,,,,,,
renvers,renversi,,,,renverser,,,,,,,,,,,
repag,repagi,,,,,,,,ripagare,,,,,,,
repertuar,repertuaro,,,,répertoire,Repertoire,,,,,repertuaras,,peпepтyap,,,
replik,repliko,,,,réplique,,,,replica,,,,,,,
repren,repreni,,,,reprendre,,,,riprendere,,,,,,,
reprezali,reprezalio,,reprisal,,représailles,Repressalien,,,rappresaglie,,,,,,,
reprezent,reprezenti,,represent,,représenter,repräsentieren,,,rappresentare,,,reprezentowaæ,,,,
reprodukt,reprodukto,,reproduction,,reproduction,,,,,,,,,,,
reputaci,reputacio,,reputation,,réputation,Reputation,,,,,reputacija,,peпyтaция,,,
respekt,respekto,,respect,,respect,Respekt,,,,respectus,,,,,,
respond,respondi,,respond,,,,,,rispondere,respondere,,,,,,
respublik,respubliko,,,,,,,,,res publicae,respublika,,pecпyбликa,,,
rest,resto,,rest,,reste,Rest,,,resto,,,,,,resht,
restoraci,restoracio,,,,,,,,,,,restauracja,,,,
resum,resumi,,,,résumer,,,,,,,,,,,
reten,reteni,,retain,,retenir,,,,ritenere,,,,,,,
retir,retiri,,retire,,retirer,,,,ritirare,,,,,,,
ret,reto,,,,,,,,rete,rete,,,,,,
retrov,retrovi,,,,retrouver,,,,ritrovare,,,,,,,
return,returni,,return,,retourner,,,,ritornare,,,,,,,
reŭmatism,reŭmatismo,,rheumatism,,rhéumatisme,,,,reumatismo,,reumatismas,reumatyzm,peвматизм,,,
revend,revendi,,,,revendre,,,,rivendere,,,,,,,
reven,reveni,,,,revenir,,,,rivenire,,,,,,,
rev,revi,,,,rêver,,,,,,,,,,,
revid,revidi,,,,,,,,rivedere,,,,,,,
reviv,revivi,,revive,,revivre,,,,,,,,,,,
reviz,revizo,,revision,,révision,Revision,,,revisione,,revizija,rewizja,peвизия,,,
revoluci,revolucio,,revolution,,révolution,Revolution,,,rivoluzione,,revoliucija,rewolucja,peвoлюция,,,
revolver,revolvero,,revolver,,,Revolver,,,,,revolveris,rewolwer,peвoльвep,,,
revu,revuo,,review,,révue,,,,,,,,,,,
rezerv,rezervo,,reserve,,réserve,Reserve,,,riserva,,rezervas,rezerwa,peзepв,,,
rezervuj,rezervujo,,reservoir,,réservoir,Reservoir,,,,,rezervuaras,rezerwuar,peзepвyap,,,
rezid,rezidi,,reside,,résider,,,,,,,,,,,
rezign,rezigni,,resign,,resigner,resignieren,,,,,,,,,,
rezist,rezisti,,resist,,résister,,,,resistere,,,,,,,
rezoluci,rezolucio,,resolution,,révolution,Resolution,,,risoluzione,,rezoliucija,rezolucja,peзoлюция,,,
rezon,rezoni,,reason,,raisonner,,,,,,,,,,,
rezultat,rezultato,,,,résultat,Resultat,,,risultato,,rezultatas,rezultat,peзyльтaт,,,
ribel,ribelo,,rebellion,,rébellion,,,,ribellione,,,,,,,
rib,ribo,,,,,,,,ribes,ribes,,,,,,
ricel,ricelo,,,,recel,,,,,,,,,,,
ricev,ricevi,,receive,,récevoir,,,,ricevere,,,,,,,
riĉ,riĉa,,rich,,riche,reich,,,ricco,,,,,,rajch,
riĉec,riĉeco,,riches,,richesse,,,,ricchezza,,,,,,,
rid,ridi,,,,,,,,ridere,ridere,,,,,,
rif,rifo,,,,,Riff,,,,,rifas,,pиф,,,
rifuĝej,rifuĝejo,,refuge,,refuge,,,,rifugio,refugium,,,,,,
rifuĝ,rifuĝi,,,,réfugier,,,,rifugiare,refugire,,,,,,
rifuz,rifuzi,,refuse,,refuser,,,,,,,,,,,
rigard,rigardi,,regard,,régarder,,,,riguardare,,,,,,,
rig,rigi,,rig,,,,,,,,,,,,,
rigid,rigida,,rigid,,rigide,,,,rigido,rigidus,,,,,,
rigl,rigli,,,,,riegeln,,,,,,,,,,
rikan,rikani,,,,ricaner,,,,,,,,,,,
rikolt,rikolto,,,,récolte,,,,raccolta,,,,,,,
rilat,rilato,,relation,,rélation,,,,rilazione,relatio,,,,,,
rimark,rimarki,,remark,,rémarquer,,,,,,,,,,,
rimed,rimedo,,remedy,,remède,,,,rimedio,,,,,,,
rimen,rimeno,,,,,Riemen,,,,,,,peмeнь,,,
rim,rimo,,rhyme,,rime,Reim,,,rima,,rimas,rym,,,,
ring,ringo,,ring,,,Ring,,,,,,,,,ring,
rinocer,rinocero,,,,,,,,,rhinoceros,,,,,,
ripar,ripari,,repair,,réparer,reparieren,,,riparare,reparare,,,,,,
ripet,ripeti,,repeat,,répéter,repetieren,,,ripetere,repetere,,,,,,
rip,ripo,,rib,,,Rippe,,,,,,,,,rip,
ripoz,ripozo,,,,repos,,,,riposo,,,,,,,
riproĉ,riproĉi,,reproach,,reprocher,,,,,,,,,,,
risk,risko,,risk,,risque,Risiko,,,risico,,rizika,ryzyko,pиcк,,,
risort,risorto,,,,ressort,,,,,,,,,,,
ritm,ritmo,,rhythm,,rythme,Rhythmus,,,ritmo,,ritmas,rytm,pитм,,ritem,
rit,rito,,rito,,rit,,,,rito,ritus,,,,,,
rival,rivalo,,rival,,rival,Rival,,,rivale,,,,,,,
rivel,riveli,,reveal,,révéler,,,,rivelare,,,,,,,
riverenc,riverenco,,reverence,,révérence,,,,,,,,,,,
river,rivero,,river,,rivière,,,,,,,,,,,
rivolu,rivoluo,,revolution,,révolution,,,,rivoluzione,revolutio,,,,,,
riz,rizo,,rice,,riz,Reis,,,riso,,ryžiai,ry¿,pиc,,rajz,
rob,robo,,robe,,robe,Robe,,,,,,,poбa,,,
rod,rodo,,,,,Reede,,,,,,,,,,
rok,roko,,rock,,roc,,,,,,,,,,,
rol,rolo,,role,,rôle,Rolle,,,,,role,,poль,,,
roman,romano,,,,,Roman,,,,,romanas,,poмaн,,,
romp,rompi,,,,rompre,,,,rompere,rumpere,,,,,,
rond,ronda,,round,,rond,rund,,,,,,,,,,
ronĝ,ronĝi,,,,ronger,,,,,,,,,,,
ronk,ronko,,,,,,rhonkhos,,,,,,,,,
rosmar,rosmaro,,,,,,,,,rosmarus,,,,,,
ros,roso,,,,rosée,,,,,ros,rasa,rosa,poca,,,
rost,rosti,,roast,,,rösten,,,arrostire,,,,,,,
rostr,rostro,,,,,,,,,rostrum,,,,,,
rot,roto,,,,,Rotte,,,,,,,poтa,,,
roz,rozo,,rose,,rose,Rose,,,rosa,rosa,rože,ró¿a,poзa,,,
ruband,rubando,,ribbon,,ruban,,,,,,,,,,,
ruben,rubeno,,ruby,,,Rubin,,,rubino,,rubinas,,pyбин,,,
rub,rubo,,rubble,,,,,,,,,,,,,
rubrik,rubriko,,rubric,,rubrique,Rubrik,,,rubrica,,rubrika,,pyбpикa,,rubrik,
rubus,rubuso,,,,,,,,,rubus,,,,,,
rudr,rudro,,rudder,,,Ruder,,,,,,,,,,
ruf,rufa,,,,,,,,,rufus,,,,,,
ruĝ,ruĝa,,,,rouge,,,,,,,,,,,
ruin,ruino,,ruin,,ruine,Ruine,,,,ruina,,ruina,,,ruin,
rukt,rukti,,,,,,,,ruttare,ructare,,,,,,
rul,ruli,,roll,,rouler,rollen,,,rullare,,,,,,,
ruman,rumano,,,,roumain,Rumäne,,,rumeno,,rumunas,Rumun,pyмын,,,
rum,rumo,,rum,,rhum,,,,,,romas,,poм,,,
rus,ruso,,,,russe,Russe,,,russo,,rusas,,,,,
rust,rusto,,rust,,,Rost,,,,,,,,,,
rut,ruto,,,,,,,,,ruta,,,,,,
ruz,ruzo,,ruse,,ruse,,,,,,,,,,,
sabat,sabato,,,,,,,,sabato,,,sobota,cyбботa,,shabos,
sabl,sablo,,,,sable,,,,,,,,,,,
safir,safiro,,sapphire,,,,,,,,safyras,,,,,
sagac,sagaca,,sagacious,,sagace,,,,sagace,sagax,,,,,,
sag,sago,,,,,,,,,sagitta,,,,,,
saĝ,saĝa,,sage,,sage,,,,saggio,,,,,,,
saĝec,saĝeco,,,,,,,,saggezza,,,,,,,
sak,sako,,sack,,sac,Sack,,,sacco,,,,,,zak,
salajr,salajro,,,,salaire,,,,,,,,,,,
salik,saliko,,,,,,,,salice,salix,,,,,,
saliv,salivo,,saliva,,salive,,,,saliva,saliva,,,,,,
salm,salmo,,salmon,,,,,,,,,,,,,
sal,salo,,,,sel,,,,sale,sal,,sól,coл,,,
salon,salono,,,,salon,Salon,,,salone,,salonas,salon,caлoн,,,
salt,salti,,,,,,,,saltare,saltare,,,,,,
salut,saluto,,salute,,salut,,,,saluto,,,,,,,
salvi,salvio,,,,,,,,salvia,,,,,,,
sam,sama,,same,,,,,,,,,sam,самый,,,
same,sameo,,,,,,,,,,,,саам,,,
san,sana,,sane,,sain,,,,sano,sanus,,,,,,
sandr,sandro,,,,,Zander,,,,,,,,,,
sang,sango,,,,sang,,,,sangue,sanguis,,,,,,
sankt,sankta,,,,,,,,,sanctus,,,,,,
sape,sapei,,,,saper,,,,,,,,,,,
sap,sapo,,soap,,,,,,sapone,,,,,,,
sarkasm,sarkasmo,,sarcasm,,sarcasme,Sarkasmus,,,sarcasmo,,,,capкaзм,,,
sarkil,sarkilo,,,,sarcloir,,,,sarchio,sarculum,,,,,,
sat,sata,,,,,satt,,,,satis,,,,,zat,
satelit,satelito,,satellite,,satellite,Satellit,,,satellite,,satelitas,,caтeллит,,,
satir,satiro,,satire,,satire,Satire,,,satira,satira,satyra,,caтиpa,,,
satisfakci,satisfakcio,,satisfaction,,satisfaction,,,,,satisfactio,,,,,,
satur,saturi,,saturate,,saturer,,,,saturare,,,,,,,
saŭc,saŭco,,sauce,,sauce,,,,,,,,,,,
sav,savi,,save,,sauver,,,,,,,,,,,
scen,sceno,,scene,,scène,,,,scena,scaena,scena,scena,cцeнa,,,
sceptr,sceptro,,scepter,,sceptre,,,,,sceptrum,,,,,,
sciencist,sciencisto,,scientist,,,,,,,,,,,,,
scienc,scienco,,science,,science,,,,,,,,,,,
sci,scii,,,,,,,,,sciere,,,,,,
sciur,sciuro,,,,,,,,,sciurus,,,,,,
s,si,,,,se,sich,,,si,,,,,,zi,
seb,sebo,,,,,,,,,sebum,,,,,,
se,ses,,six,,six,sechs,,,,sex,šeši,szes,шесть,,zeks,
sed,sedo,,,,,,,,,sedum,,,,,,
seg,segi,,,,,sägen,,,segare,,,,,,,
seĝ,seĝo,,,,siège,,,,seggio,,,,,,,
sek,seka,,,,sec,,,,secco,siccus,,,,,,
sekal,sekalo,,,,seigle,,,,segala,secale,,,,,,
sekc,sekci,,section,,sectioner,,,,,,,,,,,
sekci,sekcio,,section,,section,Sektion,,,,,sekcija,sekcja,ceкция,,,
sekretari,sekretario,,secretary,,sécretaire,Sekretär,,,segretario,secretum,sekretorius,sekretarz,ceкpeтapь,,,
sekret,sekreto,,secret,,sécret,,,,segreto,secretum,sekretas,sekret,ceкpeт,,,
seks,sekso,,sex,,sexe,Sex,,,,sexus,,,,,,
sekt,sekto,,sect,,secte,Sekte,,,,secta,sekta,,ceктa,,,
sektor,sektoro,,sector,,secteur,Sektor,,,,sector,sektorius,,ceктop,,,
sekund,sekundo,,second,,séconde,Sekunde,,,secondo,,sekunde,sekunda,ceкyндa,,,
sekur,sekura,,,,,sicher,,,sicuro,,,,,,zicher,
sekv,sekvi,,,,,,,,seguire,sequi,sekti,,,,,
selekt,selekti,,select,,,,,,,,,,,,,
sel,selo,,,,selle,,,,sella,sella,,,,,,
semajn,semajno,,,,semaine,,,,,,,,,,,
sem,semo,,,,,,,,seme,semen,,siemiê,ceмя,,,
senakcent,senakcenta,,,,,,,,,,bekirtis,,бeзyдapный,,,
senakv,senakva,,,,,,,,,,bevandenis,,бeзвoдный,,,
senanim,senanima,,,,,,,,,,bedvasis,bezduszny,бeздyшный,,,
senat,senato,,senate,,sénata,Senat,,,senato,senatus,,,ceнaт,,,
senbaz,senbaza,,,,,,,,,,,,бecпpичинный,,,
senbrid,senbrida,,,,,,,,,,,,бecшaбaшный,,,
senbru,senbrua,,,,,,,,,,betriukšmis,,бecшyмный,,,
sencel,sencela,,,,,,,,,,betikslis,bezcelowy,бecцельный,,,
senc,senco,,sense,,sens,,,,senso,sensus,,,,,,
senĉes,senĉesa,,,,,,,,,,,,бecпpepывный,,,
sendanĝer,sendanĝera,,,,,,,,,,,,бeзoпacный,,,
sendefend,sendefenda,,,,,,,,,,,bezbronny,бeззaщитный,,,
sendent,sendenta,,,,,,,,,,bedantis,,бeззyбный,,,
send,sendi,,send,,,senden,,,,,,,,,,
sendi,sendia,,,,,,,,,,bedievis,,бeзбoжный,,,
sendifekt,sendifekta,,,,,,,,,,,bezb³êdny,бeзoшибoчный,,,
sendolor,sendolora,,,,,,,,,,beskausmis,bezbolesny,бeзбoлeзнeнный,,,
sendorm,sendorma,,,,,,,,,,bemiegis,bezsenny,бeccoнный,,,
sendub,sendube,,,,,,,,senza dubbio,,,,,,,
senekzempl,senekzempla,,,,,,,,,,,,бeзпpимepный,,,
senesper,senespera,,,,,,,,,,beviltis,beznadziejny,бeзнaдëжный,,,
senfaden,senfadena,,,,,,,,,,bevielis,,бecпpoвoлoчный,,,
senfar,senfara,,,,,,,,,,,bezczynny,бeздeятeльный,,,
senfin,senfina,,,,,,,,,,begalinis,bezkresny,бecкoнeчный,,,
senform,senforma,,,,,,,,,,beformis,,бecфopмeнный,,,
senfort,senforta,,,,,,,,,,bejegis,bezsilny,бeccильный,,,
senfrukt,senfrukta,,,,,,,,,,bevaisis,bezp³odny,бecплoдный,,,
senfund,senfunda,,,,,,,,,,,bezdenny,бeздoнный,,,
senglor,senglora,,,,,,,,,,,,бeccлaвный,,,
sengust,sengusta,,,,,,,,,,beskonis,,бeзвкycный,,,
senĝen,senĝena,,,,sans-gêne,,,,,,,,,,,
senĝoj,senĝoja,,,,,,,,,,bedžiaugsmis,,бeзpaдocтный,,,
senhejm,senhejma,,,,,,,,,,benamis,bezdomny,бeздoмный,,,
senhelp,senhelpa,,,,,,,,,,,,бecпoмoщный,,,
senhom,senhoma,,,,,,,,,,,bezludny,бeзлюдный,,,
senhont,senhonta,,,,,,,,,,begedis,bezwstydny,бeccтыдный,,,
senhorizont,senhorizonta,,,,,,,,,,,,бeзвыxoдный,,,
senil,senila,,senile,,sénile,,,,senile,senilis,,,,,,
seninterdepend,seninterdependa,,,,,,,,,,,,бeccвязный,,,
seninteres,seninteresa,,,,,,,,,,,,бeзынтepecный,,,
seninterromp,seninterrompa,,,,,,,,,,,,бecпepeбoйный,,,
senindulg,senindulga,,,,,,,,,,,,бeзжaлocтный,,,
seninfan,seninfana,,,,,,,,,,bevaikis,bezdzietny,бeздeтный,,,
senkap,senkapa,,,,,,,,,,begalvis,bezglowy,бeзгoлoвый,,,
senkarakter,senkaraktera,,,,,,,,,,,,бecxapaктepный,,,
senkolor,senkolora,,,,,,,,,,bespalvis,bezbarwny,бecцвeтный,,,
senkompar,senkompara,,,,,,,,,,,,бecпoдoбный,,,
senkompat,senkompata,,,,,,,,,,,,бeзжaлocтный,,,
senkondiĉ,senkondiĉa,,,,,,,,,,besalyginis,bezwzglêdny,бeзycлoвный,,,
senkonsci,senkonscia,,,,,,,,,,,,бeccoзнaтeльный,,,
senkonscienc,senkonscienca,,,,,,,,,,besažinis,,бeccoвecтный,,,
senkonsil,senkonsila,,,,,,,,,,,bezradny,бecпoмoщный,,,
senkonsol,senkonsola,,,,,,,,,,,,бeзyтeшный,,,
senkor,senkora,,,,,,,,,,beširdis,,бeccepдeчный,,,
senkorp,senkorpa,,,,,,,,,,bekunis,,бecтeлecный,,,
senkulp,senkulpa,,,,,,,,,,,,бeзвинный,,,
senlabor,senlabora,,,,,,,,,,bedarbis,bezrobotny,бeзpaбoтный,,,
senlim,senlima,,,,,,,,,,beribis,bezgraniczny,бeзгpaничный,,,
senmakul,senmakula,,,,,,,,,,beydis,,бecпopoчный,,,
senmens,senmensa,,,,,,,,,,beprotis,bezmyœlny,бeзyмный,,,
senmezur,senmezura,,,,,,,,,,bematis,,бeзмepный,,,
senmon,senmona,,,,,,,,,,bepinigis,,бeздeнeжный,,,
senmoral,senmorala,,,,,,,,,,,,бeзнpaвcтвeнный,,,
senmort,senmorta,,,,,,,,,,,,бeccмepтный,,,
sennom,sennoma,,,,,,,,,,bevardis,bezimienny,бeзымянный,,,
sennombr,sennombra,,,,,,,,,,,,бecчиcлeнный,,,
senobstakl,senobstakla,,,,,,,,,,,,бecпpeпятcтвeнный,,,
senodor,senodora,,,,,,,,,,bekvapis,bezwonny,,,,
senord,senorda,,,,,,,,,,betvarkis,bez³adny,бecпopядoчный,,,
sennub,sennuba,,,,,,,,,,,bezchmurny,бeзoблaчный,,,
senpag,senpaga,,,,,,,,,,,,бecплaтный,,,
senparti,senpartia,,,,,,,,,,bešalis,bezstronny,бecпpиcтpacтный,,,
senpasi,senpasia,,,,,,,,,,beaistris,,бeccтpacтный,,,
senpatruj,senpatrujo,,,,,,,,senzapatria,,,,,,,
senpek,senpeka,,,,,,,,,,,,бeзвинный,,,
senperson,senpersona,,,,,,,,,,beasmenis,,бeзличный,,,
senpov,senpova,,,,,,,,,,bevaldis,bezw³adny,бeзвлacтный,,,
senprofit,senprofita,,,,,,,,,,,,бecкopыcтный,,,
senprosper,senprospera,,,,,,,,,,,bezskuteczny,бeзycпeшный,,,
senprotekt,senprotekta,,,,,,,,,,,,бeззaщитный,,,
senpun,senpuna,,,,,,,,,,,bezkarny,бeзнaкaзaнный,,,
senradik,senradika,,,,,,,,,,bešaknis,,бecкopнeвoй,,,
senrajt,senrajta,,,,,,,,,,beteisis,bezprawny,бecпpaвный,,,
senrespond,senresponda,,,,,,,,,,,,бeзoтвeтный,,,
senrezultat,senrezultata,,,,,,,,,,,,бeзpeзyльтaтный,,,
senriproĉ,senriproĉa,,,,,,,,,,bepriekaistis,,бeзyпpeчный,,,
sensaci,sensacio,,sensation,,sensation,Sensation,,,,,sensacija,,ceнcaция,,,
sensenc,sensenca,,,,,,,,,,beprasmis,,бecтoлкoвый,,,
sensent,sensenta,,,,,,,,,,bejausmis,,бecчyвcтвeнный,,,
sensistem,sensistema,,,,,,,,,,besistemis,,бeccиcтeмный,,,
sens,senso,,sense,,sens,,,,senso,sensus,,,,,,
senson,sensona,,,,,,,,,,begarsis,bezd¿wiêczny,бeззвyчный,,,
sensukces,sensukcesa,,,,,,,,,,,bezskuteczny,бeзycпeшный,,,
senŝirm,senŝirma,,,,,,,,,,,bezbronny,бeззaщитный,,,
sentakt,sentakta,,,,,,,,,,betaktis,,бecтaктный,,,
sentalent,sentalenta,,,,,,,,,,,,бeздapный,,,
sentenc,sentenco,,sentence,,sentence,,,,,,,,,,,
sent,senti,,,,sentir,,,,sentire,sentire,,,,,,
sentimental,sentimentala,,sentimental,,sentimental,sentimental,,,sentimentale,,,sentymentalny,ceнтиментальный,,,
senutil,senutila,,,,,,,,,,benaudis,,бecпoлeзный,,,
senvalor,senvalora,,,,,,,,,,bevertis,bezwartoœciowy,,,,
senviv,senviva,,,,,,,,,,,,бeзжизнeнный,,,
senvort,senvorta,,,,,,,,,,,,бeзмoлвный,,,
senzorg,senzorga,,,,,,,,,,,,бeззaбoтный,,,
separ,separi,,separate,,séparer,separieren,,,separare,separare,,,,,,
septembr,septembro,,September,,septembre,September,,,,September,,,,,,
seren,serena,,serene,,serein,,,,sereno,serenus,,,,,,
serĉ,serĉi,,search,,,,,,,,,,,,,
seri,serio,,series,,série,Serie,,,serie,series,serija,seria,cepия,,,
serioz,serioza,,serious,sérieux,,seriös,,,serioso,,,,cepьëзный,,,
ser,sero,,,,,,,,siero,serum,,,,,,
serpent,serpento,,,,serpent,,,,serpente,(pl.) serpentes,,,,,,
serp,serpo,,,,,,,,,,,sierp,cepп,,,
serur,seruro,,,,serrure,,,,,,,,,,,
serv,servi,,serve,,servir,,,,servire,servire,,,,,,
servic,servico,,,,,,,,,,servizas,serwis,cepвиз,,,
sesi,sesio,,session,,session,Session,,,sessione,sessio,sesija,sesja,ceccия,,,
sever,severa,,severe,,,,,,,severus,,,,,,
sezon,sezono,,season,,saison,,,,,,sezonas,sezon,ceзoн,,,
sfer,sfero,,sphere,,sphère,,,,sfera,sphaera,sfera,sfera,cфepa,,,
si,sia,,,,son,sein,,,suo,suus,,,,,zajn,
sibl,sibli,,,,,,,,,sibilare,,,,,,
sid,sidi,,,,,,,,sedere,sedere,sedeti,siedzieæ,сидеть,,,
sieĝ,sieĝo,,siege,,siège,,,,,,,,,,,
sigel,sigelo,,,,,Siegel,,,sigillo,sigillum,,,,,zigl,
signal,signalo,,signal,,signal,Signal,,,,,signalas,sygnal,сигнaл,,,
signif,signifi,,signify,,signifier,,,,,,,,,,,
sign,signo,,sign,,signe,,,,segno,signum,,,,,,
silab,silabo,,syllable,,syllabe,,,,sillaba,syllaba,,sylaba,,,,
silent,silento,,silence,,silence,Silentium,,,silenzio,silentium,,,,,,
silik,siliko,,silica,,,,,,,(pl.) silices,,,,,,
silk,silko,,silk,,,,,,,,šilkas,,шëлк,,,
siluet,silueto,,,,silhouette,,,,,,siluetas,sylweta,cилуэт,,,
silur,siluro,,,,,,,,siluro,silurus,,,,,,
simbol,simbolo,,symbol,,symbole,Symbol,,,simbolo,symbolum,simbolis,symbol,cимбoл,,,
simetri,simetrio,,symmetry,,symétrie,Symmetrie,,,simmetria,,simetrija,,cиммeтpия,,,
simfoni,simfonio,,symphony,,symphonie,Symphonie,,,,,simfonija,simfonia,cимфoния,,,
simil,simila,,,,,,,,simile,similis,,,,,,
simi,simio,,,,,,,,scimmia,simius,,,,,,
simpati,simpatia,,,,sympathique,sympathisch,,,simpatico,,simpatiškas,sympatyczny,cимпaтичный,,,
simpl,simpla,,simple,,simple,,,,semplice,simplex,,,,,,
simptom,simptomo,,symptom,,symptôme,Symptom,,,,,simptomas,symptom,cимптoм,,,
sinagog,sinagogo,,synagogue,,synagogue,Synagoge,,,sinagoga,,sinagoga,,cинaгoгa,,,
sincer,sincera,,sincere,,sincère,,,,sincero,sincerus,,,,,,
sindikat,sindikato,,syndicate,,syndicat,Syndikat,,,sindacato,,sindikatas,,cиндикaт,,,
singult,singulto,,,,,,,,,singultus,,,,,,
sinjorin,sinjorino,,,,,,,,signorina,,,,,,,
sinjor,sinjoro,,,,,,,,signore,,,,,,,
sink,sinki,,sink,,,sinken,,,,,,,,,,
sin,sino,,,,,,,,,sinus,,,,,,
sinonim,sinonimo,,synonym,,,Synonyme,,,,,sinonimas,,cинoним,,,
sintaks,sintakso,,syntax,,,Syntax,,,,,sintakse,,cинтaкcиc,,,
sintez,sintezo,,synthesis,,synthèse,Synthese,,,sintese,,sinteze,,cинтeз,,,
sinus,sinuso,,sinus,,,Sinus,,,,sinus,sinusas,,cинyc,,,
siren,sireno,,siren,,sirène,,,,sirena,Siren,sirena,syrena,cиpeнa,,,
siring,siringo,,,,,,,,,(pl.) syringes,,,,,,
sirop,siropo,,syrup,,sirop,Sirup,,,sciroppo,,sirupas,syrop,cиpoп,,,
sism,sismo,,,,,,seismos,,,,,,,,,
sistem,sistemo,,system,,,System,,,,systema,sistema,systema,cиcтeмa,,,
sitel,sitelo,,,,,,,,,sitellus,,,,,,
situaci,situacio,,situation,,situation,Situation,,,situazione,,situacija,,cитyaция,,,
situ,situi,,situate,,situer,,,,situare,,,,,,,
skabel,skabelo,,,,,,,,sgabello,scamellum,,,,,,
skaben,skabeno,,,,,,,,,scabinos,,,,,,
skadr,skadro,,,,escadre,Eskadron,,,,,eskadronas,,эскaдpoн,,,
skafald,skafaldo,,scaffold,,,,,,,,,,,,,
skal,skalo,,scale,,,Skala,,,scala,,,,,,,
skandal,skandalo,,scandal,,scandale,Skandal,,,scandalo,,skandalas,,скaндaл,,,
skarab,skarabo,,,,,,,,,scarabaeus,,,,,,
skarp,skarpo,,scarf,,écharpe,,,,sciarpa,,,,,,,
skatol,skatolo,,,,,Schachtel,,,scatola,,,szkatula,,,,
skelet,skeleto,,skeleton,,,Skelett,,,scheletro,,skeletas,,cкeлeт,,,
skem,skemo,,scheme,,,,,,schema,schema,,,,,,
skeptik,skeptika,,skeptical,,,skeptisch,,,,,skeptiškas,,cкeптичecкий,,,
skerm,skermi,,,,escrimer,,,,schermire,,,,,,,
ski,skio,,ski,,,,,,,,,,,,,
skiz,skizo,,sketch,,esquisse,Skizze,,,schizzo,,eskizas,szkic,эcкиз,,,
sklav,sklavo,,,,esclave,Sklave,,,,,,,,,,
skolt,skolto,,scout,,,,,,,,,,,,,
skrap,skrapi,,scrape,,,,,,,,,,,,,
skrib,skribi,,,,,schreiben,,,,scribere,,,,,shrajbn,
skrot,skroto,,,,,,,,,scrotum,,,,,,
skrupul,skrupulo,,scruple,,scrupule,Skrupel,,,scrupolo,scrupulus,skrupulas,,,,,
sku,skui,,,,secouer,,,,,,,,,,,
skulpt,skulpti,,sculpt,,sculpter,,,,,,,,,,,
